0,2.2,2,,x (in G's),y (in G's),z (in G's)
300,2,2,,0.143799,-1.056366,-0.590591
301,2,2,,0.089355,-0.992813,-0.530167
302,2,2,,0.028748,-0.909195,-0.498596
303,2,2,,0.103119,-0.803375,-0.4086
304,2,2,,0.159851,-0.83963,-0.410126
305,2,2,,0.196686,-0.869537,-0.465088
306,2,2,,0.269089,-0.869064,-0.432251
307,2,2,,0.214539,-0.791534,-0.376328
308,2,2,,0.192764,-0.843384,-0.323105
309,2,2,,0.140457,-0.876083,-0.419052
310,2,2,,0.157745,-0.85022,-0.418854
311,2,2,,0.149658,-0.847549,-0.378326
312,2,2,,0.159134,-0.894547,-0.390564
313,2,2,,0.151962,-0.944839,-0.494843
314,2,2,,0.171814,-0.987778,-0.513199
315,2,2,,0.179871,-0.864517,-0.471802
316,2,2,,0.155609,-0.826233,-0.323502
317,2,2,,0.191269,-0.863022,-0.373276
318,2,2,,0.169571,-0.848892,-0.436478
319,2,2,,0.166473,-0.825897,-0.403015
320,2,2,,0.098892,-0.841736,-0.387177
321,2,2,,0.141708,-0.909637,-0.452728
322,2,2,,0.201599,-0.884125,-0.47287
323,2,2,,0.209351,-0.838852,-0.433044
324,2,2,,0.215912,-0.839722,-0.451935
325,2,2,,0.168015,-0.868515,-0.451279
326,2.2,2,,0.122833,-0.92598,-0.477631
327,2.1,2,,0.064636,-0.928925,-0.498123
328,2,2,,0.033035,-0.897217,-0.471573
329,2,2,,0.001236,-0.864319,-0.454529
330,2,2,,0.042664,-0.877365,-0.436737
331,2,2,,0.072662,-0.894592,-0.466309
332,2,2,,0.093735,-0.870193,-0.460526
333,2,2,,0.083862,-0.847549,-0.466492
334,2,2,,0.06929,-0.853134,-0.454468
335,2,2,,0.097641,-0.870712,-0.496597
336,2,2,,0.122177,-0.861008,-0.467468
337,2,2,,0.158997,-0.857498,-0.468994
338,2,2,,0.186386,-0.865326,-0.47171
339,2,2,,0.123566,-0.876068,-0.445908
340,2,2,,0.102951,-0.904129,-0.437332
341,2,2,,0.102142,-0.901505,-0.458954
342,2,2,,0.052795,-0.868668,-0.425842
343,2,2,,0.079987,-0.862717,-0.437027
344,2,2,,0.108322,-0.872559,-0.473877
345,2,2,,0.115417,-0.849991,-0.487167
346,2,2,,0.098648,-0.856979,-0.502548
347,2,2,,0.087463,-0.858627,-0.488693
348,2,2,,0.049957,-0.86554,-0.52092
349,2,2,,0.086639,-0.860809,-0.504807
350,2,2,,0.100952,-0.877747,-0.485947
351,2,2,,0.140366,-0.89502,-0.470306
352,2.2,2,,0.13414,-0.898224,-0.508652
353,2.4,2,,0.129807,-0.896011,-0.513016
354,2,2,,0.1129,-0.862076,-0.50946
355,2,2,,0.104599,-0.847061,-0.490204
356,2,2,,0.09816,-0.842514,-0.498184
357,2,2,,0.078766,-0.887329,-0.499069
358,2,2,,0.057388,-0.90773,-0.532883
359,2,2,,0.094833,-0.867096,-0.505844
360,2,2,,0.104614,-0.887405,-0.461853
361,2,2,,0.138046,-0.915054,-0.498123
362,2,2,,0.212494,-0.890564,-0.500183
